City,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Adelanto city, California","31,765","31,760","31,661","31,864","31,088","31,206","32,522","32,961","33,249","33,952","34,070","34,049"
"Agoura Hills city, California","20,330","20,336","20,338","20,475","20,544","20,591","20,648","20,740","20,665","20,572","20,411","20,222"
"Alameda city, California","73,812","73,812","73,946","74,692","75,637","76,479","77,509","78,459","79,091","79,037","78,344","77,624"
"Albany city, California","18,539","18,515","18,539","18,720","18,957","19,187","19,434","19,662","19,713","20,076","19,885","19,696"
"Alhambra city, California","83,089","83,119","83,160","83,594","84,120","84,337","84,786","84,843","85,221","84,878","84,373","83,750"
"Aliso Viejo city, California","47,823","47,674","47,801","48,474","49,038","49,538","49,542","49,499","50,858","50,982","51,206","50,887"
"Alturas city, California","2,827","2,827","2,832","2,772","2,719","2,652","2,636","2,626","2,589","2,551","2,523","2,563"
"Amador City city, California",185,182,182,182,181,180,182,186,188,189,190,190
"American Canyon city, California","19,454","19,560","19,633","19,839","20,011","20,224","20,285","20,317","20,268","20,055","20,211","20,475"
"Anaheim city, California","336,265","336,109","336,760","339,831","342,071","343,832","344,604","348,251","350,013","350,476","350,698","350,365"
"Anderson city, California","9,932","9,968","9,976","10,024","10,061","10,123","10,188","10,179","10,193","10,369","10,486","10,630"
"Angels city, California","3,836","3,812","3,801","3,774","3,744","3,731","3,735","3,755","3,849","3,881","3,911","3,956"
"Antioch city, California","102,372","102,745","103,080","104,193","105,565","107,351","109,071","110,308","111,088","111,494","111,578","111,502"
"Apple Valley town, California","69,135","69,146","69,307","70,025","70,381","70,706","71,141","71,747","72,262","72,871","73,349","73,453"
"Arcadia city, California","56,364","56,303","56,322","56,594","56,801","57,215","57,513","57,835","58,238","58,374","58,385","57,939"
"Arcata city, California","17,231","17,410","17,681","17,912","17,875","17,860","17,869","17,945","18,100","18,148","18,246","18,431"
"Arroyo Grande city, California","17,252","17,275","17,292","17,355","17,522","17,696","17,859","18,027","18,051","18,057","18,037","17,976"
"Artesia city, California","16,522","16,522","16,519","16,575","16,630","16,679","16,755","16,835","16,826","16,808","16,702","16,601"
"Arvin city, California","19,304","19,304","19,345","19,676","20,058","20,260","20,498","20,741","20,997","21,124","21,446","21,851"
"Atascadero city, California","28,310","28,306","28,418","28,585","28,725","29,000","29,329","29,910","30,173","30,316","30,257","30,075"
"Atherton town, California","6,914","6,919","6,915","6,950","7,023","7,087","7,127","7,163","7,234","7,215","7,178","7,137"
"Atwater city, California","28,168","28,215","28,286","28,527","28,622","28,712","28,861","29,048","29,196","29,270","29,415","29,559"
"Auburn city, California","13,330","13,312","13,345","13,523","13,611","13,818","13,878","13,868","13,919","13,971","14,078","14,195"
"Avalon city, California","3,728","3,728","3,728","3,742","3,754","3,761","3,768","3,769","3,758","3,743","3,712","3,681"
"Avenal city, California","15,505","15,504","15,278","15,095","14,858","14,133","13,257","13,236","12,434","12,407","13,218","13,496"
"Azusa city, California","46,361","46,574","46,534","46,722","47,360","47,889","48,561","49,502","49,683","49,799","49,811","49,974"
"Bakersfield city, California","347,483","347,817","348,987","353,221","357,312","362,834","366,954","371,348","374,699","377,940","381,714","384,145"
"Baldwin Park city, California","75,390","75,397","75,421","75,750","76,183","76,364","76,375","76,427","76,219","75,948","75,572","75,251"
"Banning city, California","29,603","29,592","29,723","29,993","30,219","30,429","30,612","30,761","30,963","31,160","31,235","31,221"
"Barstow city, California","22,639","22,750","22,812","23,020","23,118","23,301","23,484","23,689","23,894","23,981","23,944","23,915"
"Beaumont city, California","36,877","36,867","37,261","38,514","39,286","40,337","41,994","43,479","45,156","46,848","49,126","51,063"
"Bell city, California","35,477","35,469","35,481","35,640","35,758","35,847","35,874","35,892","35,756","35,596","35,612","35,521"
"Bellflower city, California","76,616","76,625","76,624","76,939","77,202","77,404","77,532","77,794","77,581","77,326","76,906","76,435"
"Bell Gardens city, California","42,072","42,053","42,056","42,211","42,628","42,706","42,714","42,743","42,675","42,489","42,192","42,012"
"Belmont city, California","25,835","25,833","25,870","26,173","26,509","26,770","27,013","27,204","27,177","27,057","27,075","26,941"
"Belvedere city, California","2,068","2,071","2,073","2,091","2,106","2,121","2,134","2,128","2,123","2,116","2,109","2,104"
"Benicia city, California","26,997","27,035","27,063","27,190","27,380","27,578","27,827","28,029","28,126","28,255","28,282","28,240"
"Berkeley city, California","112,580","112,513","112,889","113,968","115,309","116,944","118,697","120,749","121,547","122,164","121,663","121,363"
"Beverly Hills city, California","34,109","33,921","33,937","34,077","34,254","34,308","34,363","34,386","34,402","34,242","34,051","33,792"
"Big Bear Lake city, California","5,019","5,037","5,047","5,089","5,112","5,127","5,159","5,201","5,232","5,264","5,271","5,279"
"Biggs city, California","1,707","1,705","1,703","1,693","1,692","1,689","1,692","1,690","1,695","1,706","1,716","1,879"
"Bishop city, California","3,879","3,879","3,872","3,847","3,837","3,832","3,815","3,772","3,728","3,722","3,728","3,747"
"Blue Lake city, California","1,253","1,253","1,253","1,246","1,241","1,238","1,238","1,248","1,266","1,263","1,258","1,245"
"Blythe city, California","20,817","20,877","20,569","20,294","20,659","19,868","19,268","19,202","19,786","19,705","19,964","19,682"
"Bradbury city, California","1,048","1,047","1,047","1,056","1,062","1,073","1,073","1,079","1,075","1,085","1,079","1,070"
"Brawley city, California","24,953","24,976","25,038","25,226","25,473","25,519","25,660","25,728","26,050","26,217","26,172","26,227"
"Brea city, California","39,282","39,195","39,422","39,828","40,139","40,906","41,265","41,693","42,392","42,574","43,484","43,255"
"Brentwood city, California","51,481","51,627","51,813","52,716","53,508","54,916","56,854","58,796","60,571","62,265","63,760","64,474"
"Brisbane city, California","4,282","4,282","4,290","4,345","4,402","4,453","4,602","4,712","4,711","4,702","4,683","4,671"
"Buellton city, California","4,828","4,849","4,855","4,877","4,921","4,978","5,036","5,069","5,097","5,094","5,090","5,102"
