"","City","Population"
"1","Adelanto",34049
"2","Agoura Hills",20222
"3","Alameda",77624
"4","Albany",19696
"5","Alhambra",83750
"6","Aliso Viejo",50887
"7","Alturas",2563
"8","Amador City",190
"9","American Canyon",20475
"10","Anaheim",350365
"11","Anderson",10630
"12","Angels",3956
"13","Antioch",111502
"14","Apple Valley town",73453
"15","Arcadia",57939
"16","Arcata",18431
"17","Arroyo Grande",17976
"18","Artesia",16601
"19","Arvin",21851
"20","Atascadero",30075
"21","Atherton town",7137
"22","Atwater",29559
"23","Auburn",14195
"24","Avalon",3681
"25","Avenal",13496
"26","Azusa",49974
"27","Bakersfield",384145
"28","Baldwin Park",75251
"29","Banning",31221
"30","Barstow",23915
"31","Beaumont",51063
"32","Bell",35521
"33","Bellflower",76435
"34","Bell Gardens",42012
"35","Belmont",26941
"36","Belvedere",2104
"37","Benicia",28240
"38","Berkeley",121363
"39","Beverly Hills",33792
"40","Big Bear Lake",5279
"41","Biggs",1879
"42","Bishop",3747
"43","Blue Lake",1245
"44","Blythe",19682
"45","Bradbury",1070
"46","Brawley",26227
"47","Brea",43255
"48","Brentwood",64474
"49","Brisbane",4671
"50","Buellton",5102
"51","Buena Park",81788
"52","Burbank",102511
"53","Burlingame",30889
"54","Calabasas",23853
"55","Calexico",39825
"56","California City",14198
"57","Calimesa",9160
"58","Calipatria",7114
"59","Calistoga",5247
"60","Camarillo",69888
"61","Campbell",41793
"62","Canyon Lake",11280
"63","Capitola",10010
"64","Carlsbad",115382
"65","Carmel-by-the-Sea",3811
"66","Carpinteria",13385
"67","Carson",91394
"68","Cathedral City",55007
"69","Ceres",48706
"70","Cerritos",49859
"71","Chico",103301
"72","Chino",94371
"73","Chino Hills",83853
"74","Chowchilla",18310
"75","Chula Vista",274492
"76","Citrus Heights",87796
"77","Claremont",36266
"78","Clayton",12265
"79","Clearlake",15267
"80","Cloverdale",8656
"81","Clovis",114584
"82","Coachella",45743
"83","Coalinga",17179
"84","Colfax",2002
"85","Colma town",1489
"86","Colton",54824
"87","Colusa",6060
"88","Commerce",12661
"89","Compton",95605
"90","Concord",129295
"91","Corcoran",21960
"92","Corning",7710
"93","Corona",169868
"94","Coronado",23731
"95","Corte Madera town",9751
"96","Costa Mesa",113003
"97","Cotati",7410
"98","Covina",47450
"99","Crescent City",6787
"100","Cudahy",23569
"101","Culver City",39185
"102","Cupertino",59276
"103","Cypress",49006
"104","Daly City",106280
"105","Dana Point",33577
"106","Danville town",44510
"107","Davis",69413
"108","Delano",53573
"109","Del Mar",4319
"110","Del Rey Oaks",1654
"111","Desert Hot Springs",28878
"112","Diamond Bar",55720
"113","Dinuba",24461
"114","Dixon",20698
"115","Dorris",897
"116","Dos Palos",5527
"117","Downey",111126
"118","Duarte",21271
"119","Dublin",64826
"120","Dunsmuir",1564
"121","East Palo Alto",29314
"122","Eastvale",64157
"123","El Cajon",102708
"124","El Centro",44079
"125","El Cerrito",25508
"126","Elk Grove",174775
"127","El Monte",115487
"128","El Paso de Robles (Paso Robles)",32153
"129","El Segundo",16610
"130","Emeryville",12086
"131","Encinitas",62709
"132","Escalon",7574
"133","Escondido",151625
"134","Etna",718
"135","Eureka",26710
"136","Exeter",10485
"137","Fairfax town",7522
"138","Fairfield",117133
"139","Farmersville",10703
"140","Ferndale",1352
"141","Fillmore",15870
"142","Firebaugh",8296
"143","Folsom",81328
"144","Fontana",214547
