zip,city,population,SeptIncid,tests_2020_03,tests_2020_04,tests_2020_05,tests_2020_06,tests_2020_07,tests_2020_08,tests_2020_09,tests_2020_10,tests_2020_11,tests_2020_12,tests_2021_01,tests_2021_02,tests_2021_03,tests_2021_04,tests_2021_05,tests_2021_06,tests_2021_07,tests_2021_08,tests_2021_09,tests_2021_10,tests_2021_11,tests_2021_12,tests_2022_01,tests_2022_02,tests_2022_03,tests_2022_04,cases_2020_03,cases_2020_04,cases_2020_05,cases_2020_06,cases_2020_07,cases_2020_08,cases_2020_09,cases_2020_10,cases_2020_11,cases_2020_12,cases_2021_01,cases_2021_02,cases_2021_03,cases_2021_04,cases_2021_05,cases_2021_06,cases_2021_07,cases_2021_08,cases_2021_09,cases_2021_10,cases_2021_11,cases_2021_12,cases_2022_01,cases_2022_02,cases_2022_03,cases_2022_04
90620,Buena Park,45709,34.35816727,87,448,1081,2184,2938,2605,2781,3574,4905,9910,9893,5058,4552,4238,3573,2874,3674,6037,6521,6007,5775,8594,15852,7553,4832,2791,16,56,55,243,329,147,104,117,366,1831,1469,329,113,47,33,19,236,417,194,181,196,1060,3651,341,95,116
90621,Buena Park,36961,35.55884277,58,225,675,1615,2342,1769,1676,2336,4303,8043,7289,3613,3285,3265,2546,1860,2594,4068,4230,3730,3732,5969,12809,5510,4397,1876,9,26,57,208,332,165,87,131,446,1570,1014,205,55,56,18,19,173,271,153,99,122,703,2718,264,55,55
90623,La Palma,16309,19.28764305,31,105,247,607,866,753,893,1181,1528,3133,2980,1741,1621,1685,1534,988,1266,2029,2198,2064,1962,3347,5211,2944,1815,998,10,8,7,58,69,18,23,14,78,391,296,55,16,10,4,4,74,88,64,45,35,406,1060,132,66,37
90630,Cypress,49551,13.54364178,225,351,930,2001,2920,2397,2868,3534,4701,9895,8618,5026,4675,4555,3764,3155,3808,6012,6759,6315,6332,9242,15116,6960,4991,2896,35,31,39,176,216,80,64,68,254,1211,886,269,75,51,28,34,283,393,218,189,197,1025,3096,431,89,104
90631,La Habra,70485,41.40847987,108,410,1381,3132,4752,3561,3658,4669,6979,12472,11718,6389,6095,6194,4990,3649,4306,7786,7862,7275,6581,10307,20567,8352,6193,3547,15,56,112,381,647,321,185,280,689,2703,1752,413,127,99,60,49,320,633,322,204,223,1439,5122,502,118,102
90680,Stanton,31557,31.72482885,26,205,557,1313,1822,1373,1278,1899,2912,6231,6105,3002,2327,2366,2019,1518,1656,2842,3090,2662,2642,4126,8493,3727,2525,1389,0,32,66,206,286,117,65,85,323,1331,967,234,39,36,12,9,119,206,124,94,78,585,2086,232,86,39
90720,Los Alamitos,22367,36.77991816,49,334,747,1013,1468,1204,1359,1806,2625,4126,3717,2512,2825,2261,1810,1665,2047,3553,3798,3771,3848,4971,6663,3695,2308,1336,0,34,60,68,59,23,67,33,135,470,369,90,58,26,25,17,127,202,108,88,103,534,1205,127,52,46
90740,Seal Beach,25125,10.53563151,52,186,840,951,1162,1088,1128,2124,2530,4348,4035,2590,2339,2193,1836,1604,1877,3048,3126,2949,2897,3916,4953,2705,2082,1330,4,9,48,84,68,23,26,37,90,417,402,72,22,25,17,7,141,218,128,73,82,421,938,115,42,52
90742,Sunset Beach,1116,0,1,7,16,53,56,38,30,49,95,105,100,78,58,65,57,43,53,83,99,99,130,132,152,84,70,54,0,0,0,6,5,0,0,0,10,7,7,4,1,1,0,0,2,9,3,4,9,20,33,5,1,0
92602,Irvine,30363,4.372349263,55,143,368,782,1030,931,1136,1467,2283,3865,4119,2340,2503,2220,2000,1859,2010,2995,3652,3133,3055,4870,7888,3248,2478,1638,3,7,8,41,82,25,8,12,102,380,396,93,39,43,18,12,83,141,103,46,56,554,1456,195,67,79
